stable_ID	wt_1	wt_2	mut_1	mut_2
21ur-5758	3.3580926	4.1963052	5.003187	6.3749158
21ur-2420	0.649954	0.457024	1.38978	1.5355622
21ur-5760	1.0110391	0.7478566	0.611501	0.41879
21ur-5761	4.5135713	4.8610676	5.392326	6.1887822
21ur-5762	0	0	0.166773	0.0465322
21ur-5763	4.260808	2.7836904	10.451109	5.3046684
21ur-5764	13.6489936	12.007238	8.227467	19.6366288
21ur-5765	0.613845	1.0802372	0.611501	0.8375802
21ur-5766	7.1856	9.929878	8.894562	7.3986258
21ur-5767	5.524607	5.8997552	3.22428	12.5171896
21ur-5768	12.5657795	9.265109	6.559739	20.613726
21ur-5769	0.288868	0.290833	0.111182	0.186129
21ur-5770	8.8826997	10.843881	10.061969	28.1520304
21ur-5771	0.2527595	0.249286	1.50096	0.884112
21ur-5773	0.4333025	0.5816666	0.945047	0.651451
21ur-5774	0.0361085	0.1661904	0.055591	0.0930644
21ur-5775	18.848668	12.3811856	39.580756	26.9421256
21ur-5777	1.588777	1.20488	2.501592	2.69887
21ur-5778	9.677087	11.1347328	4.725231	4.7695475
21ur-5779	0.902713	1.41262	0.277955	1.11677
21ur-578	0.216651	0.581666	0.222364	0.604919
21ur-5780	2.2026202	2.49286	1.445366	1.4890266
21ur-5781	2.7803611	3.5730934	2.112461	4.6997516
21ur-5782	22.315117	20.3167858	33.132291	20.1484288
21ur-5785	2.1304012	1.2048776	2.779555	0.8841124
21ur-5786	10.0742805	14.4585756	22.792301	23.8710188
21ur-5787	11.8074796	8.0602284	9.22811	11.9122936
21ur-5788	2.88868	5.2765432	2.612781	3.4899204
21ur-5789	2.4914885	1.6619	1.723321	1.25637
21ur-579	2.4553785	1.1217876	2.223644	3.2107266
21ur-5790	11.735317	8.8080876	17.789164	16.2396966
21ur-5791	0.7582795	0.8724994	0.833865	1.48903
21ur-5792	0.5416281	0.6647612	0.667092	1.2098374
21ur-5793	3.5747415	3.2822628	2.001273	1.070241
21ur-5794	39.4304811	21.8955616	88.389666	32.2003122
21ur-5795	0.830497	0.7894038	0.389137	0.930644
21ur-5797	0.180543	0.124643	0.277955	1.5821
21ur-5798	0.433302	0.457024	0.500319	0.884112
21ur-5799	5.091304	4.4871368	7.727147	8.3758026
21ur-58	0.7582791	0.7063086	1.500957	1.3959672
21ur-580	0.1805425	0.207738	0.222364	0.558386
21ur-5800	0.1083256	0.124643	0.166773	0.2791932
21ur-5801	1.1554756	0.914047	1.667733	2.5592666
21ur-5803	3.1775471	1.2048776	2.334821	3.3037822
21ur-5805	1.22769	1.62036	2.223642	4.3740236
21ur-5806	0.6499535	0.373928	0.389137	0.744515
21ur-5807	7.618898	7.6447534	7.226833	9.95789
21ur-5808	1.33602	1.37107	3.66901	6.0957166
21ur-5809	0.180543	0.2492856	0.166773	0.791048
21ur-581	23.9399135	19.0287568	31.575675	16.658558
21ur-5810	1.6971001	1.7865484	1.945689	3.5829842
21ur-5811	2.8886875	1.6203528	0.889456	0.6049182
21ur-5812	0.902713	1.1633324	1.056229	0.9771764
21ur-5813	0.108326	0.4570238	0.222364	0.604919
21ur-5815	3.7552856	3.3653534	6.059424	2.0939444
21ur-5818	0.5777361	0.5401192	1.334182	3.4899166
21ur-5819	1.444341	0.8309522	1.612136	2.4196712
21ur-582	1.1915771	1.49571	0.833865	3.16419
21ur-5820	5.1635225	3.323809	2.223644	2.6988666
21ur-5821	6.1023415	4.2794036	8.894559	5.4442666
21ur-5822	11.5185786	6.772253	7.671555	4.7928158
21ur-5823	0.6138445	0.8309522	1.500955	1.5820944
21ur-5824	1.4082285	0.830952	0.277955	0.186129
21ur-5825	0	0	0.055591	0.0930644
21ur-5826	12.7101963	7.8109476	12.118842	7.30556
21ur-5828	0.1805427	0.0415476	0.389137	2.23355
21ur-583	0.0722171	0.16619	0	0
21ur-5830	0.1444345	0.207738	0.444728	0.372258
21ur-5831	0.7943876	0.7478566	1.223002	2.3266114
21ur-5832	0.974931	1.1633322	1.500953	2.931528
21ur-5833	5.3079513	4.6117812	5.948242	2.6523314
21ur-5834	1.119367	0.7894042	1.05623	4.467097
21ur-5835	0.216651	0.0415476	0.333546	0.2326612
21ur-5836	1.7693185	2.3682128	2.835142	3.1176622
21ur-5837	6.8967342	5.73357	13.508573	8.7945912
21ur-5838	3.8275051	1.9111852	3.113101	1.9543522
21ur-584	0.433302	0.249286	0.277955	0.0465322
21ur-5840	63.4426871	32.240895	38.969255	19.217758
21ur-5841	0.144434	0.124643	1.056231	3.48992
21ur-5843	6.49954	4.5286876	12.508	5.072011
21ur-5844	1.5526697	1.537258	0.889456	2.4662066
21ur-5846	1.2638	1.9942876	3.16869	5.4442688
21ur-5847	21.0873639	16.992965	26.127793	16.053622
21ur-5848	0.397194	0.4154756	0.055591	0.3722574
21ur-5849	10.7242425	5.3596428	19.734783	4.2344304
21ur-585	25.2399045	29.1664132	23.737402	25.6392904
21ur-5850	0.25276	0.1661904	0.500319	0.0930644
21ur-5851	8.0883081	9.1820168	5.281143	26.7094696
21ur-5852	4.3691371	2.70059	4.89201	4.1879022
21ur-5854	0.505519	0.7478562	0.833865	1.2098366
21ur-5855	3.502533	2.8252376	2.446005	2.373139
21ur-5856	11.0853225	6.9384404	11.451748	20.3811214
21ur-5857	2.5998185	1.8280976	0.889456	1.11677
21ur-5858	2.1665085	2.2020176	2.446007	1.6751622
21ur-5859	0.144434	0.373928	0.166773	0.558386
21ur-5860	0.613845	0.290833	0.333546	0.930644
21ur-5861	10.3992526	11.8410524	6.948872	8.887651
21ur-5862	0.3249765	0.540119	0.55591	2.3731388
21ur-5864	0.180543	0.2492856	0.444728	0.8375802
21ur-5865	0.9388215	1.4541676	0.277955	2.69887
21ur-5866	7.5827895	7.2708328	4.780822	2.6058022
21ur-5867	1.33602	1.37107	0.611501	0.977176
21ur-5868	0.7221706	1.0802372	0.444728	0.41879
21ur-5869	2.166512	1.9527328	2.390411	2.6988722
21ur-2607	0.180543	0.1661906	0.500319	0.604919
21ur-5870	3.2136642	4.4455904	5.058784	7.3986256
21ur-5871	0	0.0830952	0.055591	0.2791936
21ur-5872	1.2999026	0.5816662	1.667734	1.02371
21ur-5873	0.1805425	0.2492856	0.055591	0.5118542
21ur-5874	5.2357341	5.7335682	6.28178	4.7462822
21ur-5875	21.0512621	13.71069	16.732883	10.9350896
21ur-5876	7.3661376	4.7364236	6.448556	4.3274992
21ur-5877	0.2888686	0.3323808	0.389137	0.6049182
21ur-5878	3.7191741	2.40976	1.834502	1.53556
21ur-588	0.4694111	0.4570236	0.166773	0.6514512
21ur-5880	7.7633345	7.8109452	6.67092	4.42056
21ur-5882	0.794388	0.9555952	0.722683	0.3257258
21ur-5883	1.91375	3.4068976	2.723961	4.9789422
21ur-5885	20.7263	12.4642906	37.579491	31.2230644
21ur-5886	3.53864	2.70059	1.77891	1.67516
21ur-5887	0.577736	0.207738	1.056231	2.0939514
21ur-5543	6.102339	6.813808	13.619803	17.449577
21ur-5889	12.204645	11.841014	11.729664	10.5162902
21ur-2251	0.144434	0.207738	0.55591	0.558386
21ur-5890	15.8155427	11.3840808	17.177592	14.51809
21ur-5891	5.560714	8.6418984	6.337374	11.2607912
21ur-5892	55.4987776	36.0217476	59.315655	19.3108966
21ur-5894	1.0471485	0.207738	0.389137	1.3029022
21ur-5895	0.397194	0.5401188	0.389137	1.0702422
21ur-5896	7.1494851	9.8052292	15.398673	20.2415218
21ur-5897	6.571756	3.863923	6.337373	2.8849922
21ur-5898	3.285873	2.243568	0.945047	3.0711244
21ur-5899	1.4804525	0.9140468	0.722683	1.2563692
21ur-59	18.1987341	12.1734858	34.299646	15.2159966
21ur-590	0.0722171	0.249286	0.111182	0.5583866
21ur-5900	0.0361085	0.0830952	0.889456	0.5118542
21ur-5901	0.1083255	0.4570236	1.167413	1.5820944
21ur-5902	1.5165627	1.6619028	0.722683	1.3029016
21ur-5904	0.577736	0.7478562	0.889456	1.4890322
21ur-5906	4.874647	4.6533306	7.560381	9.8648254
21ur-5907	4.766327	3.98857	8.227471	8.0500766
21ur-5908	0.5055195	0.332381	0.389137	0.0930644
21ur-5909	3.2136595	4.5286882	1.778913	1.395967
21ur-591	116.9194116	94.6453712	130.639319	92.4595188
21ur-5911	5.9217956	4.3209504	3.001913	4.7928144
21ur-5913	1.408235	2.0773758	0.833865	2.419671
21ur-5915	0.6499536	0.249286	1.00064	4.5601556
21ur-6392	4.4774545	4.0301204	10.673464	9.818298
21ur-5919	0.180543	0.0830952	0.277955	1.0702404
21ur-592	0.1805427	0.1661906	0.055591	0.139597
21ur-5920	1.4082321	1.3295228	0.611501	0.325726
21ur-5921	0.25276	0.373928	0.055591	0.4653222
21ur-5922	0.686062	3.0745204	0.333546	1.2563692
21ur-5924	6.752299	3.1576134	13.286231	9.4925734
21ur-5925	0.613845	0.373928	0.111182	1.6286244
21ur-5926	1.9498645	4.113208	1.334181	3.3968544
21ur-5927	5.7773625	8.3926152	8.950152	18.7990254
21ur-5928	9.9298455	13.3783286	7.615973	7.6778136
21ur-5929	6.1384516	5.7335652	13.341855	9.7252276
21ur-593	0.9027135	1.24643	1.50096	7.0729
21ur-5930	0.2527596	0.7063086	0.222364	0.5583862
21ur-5931	0.216651	0.0830952	0.166773	0.325725
21ur-5932	0.180543	0.4154762	0.111182	0.5583862
21ur-5933	0.361085	0.124643	0.166773	0.465322
21ur-5934	13.7573056	13.253652	20.17952	18.101076
21ur-5935	3.5566884	2.0773776	7.338013	10.7024546
21ur-5936	0.4333025	0.6232142	0.889456	1.07024
21ur-5937	5.7412585	2.9083304	3.502231	2.2335436
21ur-5938	0	0	0	0
21ur-5939	4.441354	4.0301206	8.894563	5.3046744
21ur-594	12.0602681	7.3123804	15.398683	12.4705894
21ur-5940	30.620045	17.117562	26.739283	9.9578886
21ur-5941	1.5887741	2.617498	0.833865	3.7225722
21ur-5942	4.8024336	4.2794004	7.171241	6.7006344
21ur-11926	0.97493	1.1217856	2.279233	2.9780634
21ur-5945	0.108326	0.124643	0.055591	0.139597
21ur-5946	10.9409085	9.7636828	10.339946	12.2844934
21ur-5948	8.6299397	10.677738	15.509928	9.120312
21ur-5949	102.6565142	46.117842	52.422293	46.4856982
21ur-595	0.0722171	0.0415476	0.055591	0.1861292
21ur-5950	0.6860616	0.623214	0.611501	0.511854
21ur-13582	0.0361085	0.0830952	0.277955	0.2791934
21ur-5952	22.640002	21.2308088	15.787892	15.4486576
21ur-5953	5.7412561	5.0688042	2.890732	6.5145062
21ur-5954	0.469411	0.581666	0.389137	0.697983
21ur-5955	0.902713	0.997142	1.612135	1.3959692
21ur-5956	0.469411	0.16619	0.55591	0.465322
21ur-5957	3.6469571	3.2407136	2.779548	4.5136224
21ur-5958	13.2156855	6.5645228	24.460046	14.518061
21ur-5959	9.4604371	10.3869328	16.232555	47.7420258
21ur-596	5.0912985	5.2349976	4.502873	3.0245888
21ur-5960	4.8746544	4.2794058	3.613416	4.1413658
21ur-5961	2.7081385	3.3653558	1.72332	3.3968522
21ur-5962	23.8677477	24.1807044	29.074083	33.410076
21ur-5963	4.5496726	3.7392806	5.114373	2.5127344
21ur-5966	9.7854142	5.3596428	10.673446	4.83935
21ur-5967	4.51357	5.1103576	7.338012	9.7252344
21ur-5968	0.0361085	0.0415476	0.055591	0.0930644
21ur-597	0.144434	0.1661906	0.166773	0.232661
21ur-5970	0.469411	0.1246428	0.833865	0.8841124
21ur-5973	2.852571	2.202023	1.77891	9.5390988
21ur-5974	7.7633386	8.9327282	3.057505	8.3292696
21ur-5975	8.12442	4.5702376	2.66837	1.90782
21ur-5976	0.1083256	0.0415476	0.055591	0.0930644
21ur-5977	1.7332145	2.0358328	1.223	6.281847
21ur-5978	25.962026	21.3139428	21.346973	20.939461
21ur-5979	6.3551	6.4814276	7.28242	6.32838
21ur-598	6.4995309	6.7722612	3.669011	6.0957218
21ur-5980	47.4827675	39.594828	23.514965	19.590083
21ur-5982	18.8847686	23.4744382	18.567382	30.3390258
21ur-5983	0.613845	1.08024	0.444728	1.02371
21ur-5984	0.5416276	1.08024	1.556545	7.6778154
21ur-5985	4.8024341	2.7005952	6.448557	8.8411188
21ur-5986	0.324977	0.373928	0.277955	0.139597
21ur-5987	1.0652018	1.1633352	0.444728	0.325725
21ur-5988	0.1083256	0.207738	0.277955	0.325725
21ur-5989	0.216651	0.249286	0.111182	0.6514512
21ur-599	2.3109456	1.3710676	2.390413	1.62863
21ur-5990	1.2999085	0.290833	3.168691	5.5838634
21ur-5992	5.4523911	6.7307052	6.948877	5.3977344
21ur-5994	0.0361085	0.3739286	0.611501	0.744515
21ur-5996	0.144434	0.2492852	0.166773	0.139597
21ur-5997	1.372127	1.7034476	1.00064	2.5592722
